
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:56569        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56570        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56571        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56572        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56573        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56574        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56575        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56576        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56577        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56578        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56579        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56580        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56581        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56582        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56583        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56584        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56585        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56586        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56587        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56588        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56589        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56590        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56591        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56593        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56594        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56595        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56596        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56597        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56598        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56599        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56600        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56601        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56602        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56603        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56604        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56605        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56606        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56607        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56608        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56609        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56610        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56611        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56612        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56613        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56614        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56615        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56616        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56617        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56618        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56619        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56620        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56621        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56622        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56623        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56624        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56625        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56626        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56627        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56628        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56629        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56630        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56631        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56632        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56633        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56634        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56635        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56637        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:56638        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56639        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56640        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56641        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56642        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56643        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56644        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56645        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56646        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56647        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56648        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56649        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56650        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56651        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56652        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56653        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56654        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56655        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56656        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56657        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56658        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56659        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56660        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56661        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56662        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56663        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56664        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56665        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56666        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56667        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56668        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56669        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56670        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56671        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56672        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56673        127.0.0.1:49350        TIME_WAIT       0
